distance,distance_ratio,error_code,exact_path_overlap_rate,fallback_used,found,frontier_revisit_rate,heuristic_reversal_rate,nodes,parallel_steps,peak_memory_kib,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,reentry_count,reentry_count_trace,reentry_survival_mean,reentry_survival_min,requested_nodes,seed,solver,switch_count,switch_distance_mean,topology,total_time_ms,total_work,trace_events
58.0,1.0,,,False,True,,,859,768,447.484375,0.0,0,13.721207000344293,2899,0,,,,900,2,bidirectional_dijkstra,0,,u_shape,13.721207000344293,2899,
58.0,1.0,,,False,True,,,859,859,139.484375,0.0,0,7.9732269996384275,3230,0,,,,900,2,astar,0,,u_shape,7.9732269996384275,3230,
78.0,1.0,,0.0,False,True,1.0,0.0,1546,157,0.0,0.529288000507222,1546,0.9972849993573618,155,0,0,0,0,1600,0,mrpc_dg5_switchback,0,0,u_shape,1.5268140004991437,1701,4
78.0,1.0,,,False,True,,,1546,1546,339.0234375,0.0,0,14.476397000180441,5912,0,,,,1600,0,dijkstra,0,,u_shape,14.476397000180441,5912,
78.0,1.0,,,False,True,,,1546,1394,745.1953125,0.0,0,27.163464999830467,5345,0,,,,1600,0,bidirectional_dijkstra,0,,u_shape,27.163464999830467,5345,
78.0,1.0,,,False,True,,,1546,1546,342.765625,0.0,0,14.672281999992265,5912,0,,,,1600,0,astar,0,,u_shape,14.672281999992265,5912,
78.0,1.0,,0.0,False,True,1.0,0.0,1546,157,0.0,0.48625399995216867,1546,0.9559710006215028,155,0,0,0,0,1600,1,mrpc_dg5_switchback,0,0,u_shape,1.4424660002987366,1701,4
78.0,1.0,,,False,True,,,1546,1546,339.0234375,0.0,0,15.506861000176286,5912,0,,,,1600,1,dijkstra,0,,u_shape,15.506861000176286,5912,
78.0,1.0,,,False,True,,,1546,1394,745.1953125,0.0,0,27.775518000453303,5345,0,,,,1600,1,bidirectional_dijkstra,0,,u_shape,27.775518000453303,5345,
78.0,1.0,,,False,True,,,1546,1546,342.765625,0.0,0,15.732070999547432,5912,0,,,,1600,1,astar,0,,u_shape,15.732070999547432,5912,
78.0,1.0,,0.0,False,True,1.0,0.0,1546,157,0.0,0.4859729997406248,1546,0.958966000325745,155,0,0,0,0,1600,2,mrpc_dg5_switchback,0,0,u_shape,1.445150000108697,1701,4
78.0,1.0,,,False,True,,,1546,1546,339.0234375,0.0,0,13.979747999655956,5912,0,,,,1600,2,dijkstra,0,,u_shape,13.979747999655956,5912,
78.0,1.0,,,False,True,,,1546,1394,745.1953125,0.0,0,26.521986999796354,5345,0,,,,1600,2,bidirectional_dijkstra,0,,u_shape,26.521986999796354,5345,
78.0,1.0,,,False,True,,,1546,1546,342.765625,0.0,0,14.69880300010118,5912,0,,,,1600,2,astar,0,,u_shape,14.69880300010118,5912,
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,374,81,0.0,0.10320599994884105,374,0.6014370001139469,79,0,0,0,0,400,0,mrpc_dg5_switchback,1,0,culdesac,0.7048730003589299,453,47
38.0,1.0,,,False,True,,,374,374,85.9140625,0.0,0,2.6020850000350038,1360,0,,,,400,0,dijkstra,0,,culdesac,2.6020850000350038,1360,
38.0,1.0,,,False,True,,,374,335,164.8203125,0.0,0,4.572267000185093,1227,0,,,,400,0,bidirectional_dijkstra,0,,culdesac,4.572267000185093,1227,
38.0,1.0,,,False,True,,,374,331,66.5234375,0.0,0,2.120608000041102,1209,0,,,,400,0,astar,0,,culdesac,2.120608000041102,1209,
