case_id,distance,found,gate_action,gate_reasons,path_distance,quality_guard_replaced,quality_guard_used,reentry_count,requested_nodes,seed,switch_count,topology,total_time_ms,total_work,valid,variant
49,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,400,1,0,disconnected,0.3270500000098764,381,True,base
49,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,400,1,0,disconnected,17.74683799999366,1783,True,gate
50,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,400,2,0,disconnected,0.3643759999931717,381,True,base
50,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,400,2,0,disconnected,19.486797000013212,1783,True,gate
51,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,1600,0,0,disconnected,1.5772460000107458,1561,True,base
51,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,1600,0,0,disconnected,86.41330700004346,7563,True,gate
52,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,1600,1,0,disconnected,1.5920780000442392,1561,True,base
52,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,1600,1,0,disconnected,91.87044700001934,7563,True,gate
53,inf,False,DISCONNECTED_PRECHECK,,inf,False,False,0,1600,2,0,disconnected,1.546869999970113,1561,True,base
53,inf,False,DISCONNECTED_PRECHECK,LOW_RISK,inf,False,False,0,1600,2,0,disconnected,83.67109900007108,7563,True,gate
54,1.4665311783505186,True,,,1.4665311783505186,False,False,0,400,0,0,random_geometric,2.7035140000180036,440,True,base
54,1.4665311783505186,True,,,1.4665311783505186,False,False,0,400,0,0,random_geometric,37.04023000000234,4128,True,gate
55,1.6290438221533723,True,,,1.6290438221533723,False,False,1,400,0,1,clustered,10.389432000010856,690,True,base
55,1.4520936153591255,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,1.4520936153591255,True,True,1,400,0,1,clustered,55.844798000066476,6697,True,gate
56,3.0,True,,,3.0,False,False,0,400,0,1,scale_free_pos,3.7511570000106076,472,True,base
56,3.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,3.0,False,False,0,400,0,0,scale_free_pos,27.428103000033843,2810,True,gate
57,5.0,True,,,5.0,False,False,0,400,0,1,scale_free_no_pos,8.972195999945143,777,True,base
57,3.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,3.0,False,False,0,400,0,0,scale_free_no_pos,6.0080459999198865,2810,True,gate
58,1.4595722739316181,True,,,1.4595722739316181,False,False,0,400,1,0,random_geometric,2.5872600000411694,440,True,base
58,1.4595722739316181,True,,,1.4595722739316181,False,False,0,400,1,0,random_geometric,37.339158000008865,4186,True,gate
59,3.2491728654953063,True,,,3.2491728654953063,False,False,1,400,1,2,clustered,23.855620000063027,974,True,base
59,1.534284935645936,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,1.534284935645936,True,True,1,400,1,2,clustered,70.8048220000137,7826,True,gate
