barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
356,12,356,1.0,,True,356,1,1,362,,400,0,1,bidir,,double_wall,1270,True,4.3880889998035855,1,1
359,12,359,1.0,,True,359,1,1,362,,400,0,1,astar,,double_wall,1282,True,2.343103999919549,1,1
49,12,457,1.0,,True,408,1,1.0,362,1,400,0,0.5,dg5_bulk,1,double_wall,768,True,2.2444450005423278,1.0,1
29,12,300,1.0,,True,271,2,1.9310344827586208,362,1,400,0,0.3411764705882353,dg5_bulk,2,double_wall,889,True,2.7015949999622535,0.9655172413793104,2
28,12,174,1.0,,True,146,4,3.2857142857142856,362,2,400,0,0.23333333333333334,dg5_bulk,2,double_wall,900,True,2.7071129998148535,0.8214285714285714,4
29,12,475,1.0,,True,447,8,4.103448275862069,362,3,400,0,0.7649402390438247,dg5_bulk,4,double_wall,2029,True,6.462027000452508,0.5129310344827587,8
275,13,275,1.0,,True,275,1,1,362,,400,1,1,dijkstra,,double_wall,977,True,1.5399819994854624,1,1
314,13,314,1.0,,True,314,1,1,362,,400,1,1,bidir,,double_wall,1128,True,3.8911290002943133,1,1
254,13,254,1.0,,True,254,1,1,362,,400,1,1,astar,,double_wall,900,True,1.3515789996745298,1,1
67,13,351,1.631578947368421,,True,284,1,1.0,362,1,400,1,0.5,dg5_bulk,1,double_wall,646,True,1.658391999626474,1.0,1
38,13,187,1.5789473684210527,,True,149,2,1.9473684210526316,362,1,400,1,0.3392857142857143,dg5_bulk,1,double_wall,653,True,1.580524000019068,0.9736842105263158,2
33,13,168,1.8421052631578947,,True,135,4,3.3636363636363638,362,2,400,1,0.22916666666666666,dg5_bulk,3,double_wall,823,True,2.449945999615011,0.8409090909090909,4
26,13,121,1.0,,True,95,8,5.269230769230769,362,3,400,1,0.15950920245398773,dg5_bulk,3,double_wall,773,True,2.1642550000251504,0.6586538461538461,8
1522,14,1522,1.0,,True,1522,1,1,1522,,1600,0,1,dijkstra,,double_wall,5770,True,14.480421999905957,1,1
1510,14,1510,1.0,,True,1510,1,1,1522,,1600,0,1,bidir,,double_wall,5726,True,29.308768000191776,1,1
1519,14,1519,1.0,,True,1519,1,1,1522,,1600,0,1,astar,,double_wall,5762,True,14.85720999971818,1,1
220,14,1846,1.0,,True,1626,1,1.0,1522,1,1600,0,0.5,dg5_bulk,1,double_wall,3147,True,8.924710999963281,1.0,1
144,14,997,1.0,,True,853,2,1.9861111111111112,1522,1,1600,0,0.33488372093023255,dg5_bulk,1,double_wall,3213,True,9.107488000154262,0.9930555555555556,2
97,14,649,1.0,,True,552,4,3.814432989690722,1522,2,1600,0,0.20770877944325483,dg5_bulk,2,double_wall,3588,True,10.846351000509458,0.9536082474226805,4
79,14,451,1.0,,True,372,8,7.177215189873418,1522,3,1600,0,0.12229102167182662,dg5_bulk,3,double_wall,3983,True,12.6149779998741,0.8971518987341772,8
1119,15,1119,1.0,,True,1119,1,1,1522,,1600,1,1,dijkstra,,double_wall,4233,True,10.008817000198178,1,1
1328,15,1328,1.0,,True,1328,1,1,1522,,1600,1,1,bidir,,double_wall,5052,True,24.739767000028223,1,1
1028,15,1028,1.0,,True,1028,1,1,1522,,1600,1,1,astar,,double_wall,3883,True,9.319757999946887,1,1
210,15,1269,1.7692307692307692,,True,1059,1,1.0,1522,1,1600,1,0.5,dg5_bulk,1,double_wall,2581,True,5.949393999799213,1.0,1
