case_id,critical_path_speedup,distance_ratio,efficiency,found,logical_speedup,nodes,serial_fraction,topology,valid,wall_speedup,worker_utilization,workers
17,5.570815450643777,1.8405797101449275,0.7359601449275363,True,5.88768115942029,4762,0.11583924349881797,double_wall,True,0.6749078404023997,0.9540816326530612,8
18,1.0,1.5789473684210527,1.0,True,1.0,346,0.5,spiral,True,1.0,1.0,1
18,1.3490909090909091,1.5789473684210527,0.6970954356846473,True,1.3941908713692945,346,0.34,spiral,True,0.9612055660256532,0.9705882352941176,2
18,1.8186274509803921,1.631578947368421,0.4772727272727273,True,1.9090909090909092,346,0.2222222222222222,spiral,True,0.7505709017793448,0.875,4
18,1.0248618784530388,1.0,0.12462908011869436,True,0.9970326409495549,346,0.6832460732984293,spiral,True,0.4661743068768379,0.605,8
19,1.0,1.5789473684210527,1.0,True,1.0,346,0.5,spiral,True,1.0,1.0,1
19,1.3490909090909091,1.5789473684210527,0.6970954356846473,True,1.3941908713692945,346,0.34,spiral,True,0.7464778937053691,0.9705882352941176,2
19,1.8186274509803921,1.631578947368421,0.4772727272727273,True,1.9090909090909092,346,0.2222222222222222,spiral,True,0.46902106542596494,0.875,4
19,1.0248618784530388,1.0,0.12462908011869436,True,0.9970326409495549,346,0.6832460732984293,spiral,True,0.30256436970975553,0.605,8
20,1.0,1.0,1.0,True,1.0,1356,0.852558542931483,spiral,True,1.0,1.0,1
20,1.5142993326978074,1.0,0.7604957005563986,True,1.5209914011127972,1356,0.7982905982905983,spiral,True,1.016665654828165,0.9713114754098361,2
20,2.0430868167202574,1.0,0.5145448323066393,True,2.058179329226557,1356,0.7204130262112788,spiral,True,0.9814776654055579,0.9361702127659575,4
20,2.724699828473413,1.0,0.3420154686078253,True,2.7361237488626022,1356,0.6567164179104478,spiral,True,1.0984448311156456,0.8582089552238806,8
21,1.0,1.0,1.0,True,1.0,1356,0.852558542931483,spiral,True,1.0,1.0,1
21,1.5142993326978074,1.0,0.7604957005563986,True,1.5209914011127972,1356,0.7982905982905983,spiral,True,1.0048653223657076,0.9713114754098361,2
21,2.0430868167202574,1.0,0.5145448323066393,True,2.058179329226557,1356,0.7204130262112788,spiral,True,1.115759617438665,0.9361702127659575,4
