case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
50,lean_a,1.0,True,True,,False,380,0,False,2,19,geometric_corridor,190,7.261933999870962,disconnected,786,True,True,2.068421052631579
51,lean_a,1.0,True,True,,False,1560,0,False,0,74,geometric_corridor,780,30.95841000049404,disconnected,3298,True,True,2.114102564102564
52,lean_a,1.0,True,True,,False,1560,0,False,1,74,geometric_corridor,780,31.101633000616857,disconnected,3298,True,True,2.114102564102564
53,lean_a,1.0,True,True,,False,1560,0,False,2,74,geometric_corridor,780,31.34068999952433,disconnected,3298,True,True,2.114102564102564
54,lean_a,1.0460231495393717,False,False,20,True,400,170,False,0,3,geometric_corridor,200,5.796044999442529,random_geometric,190,True,True,0.475
55,lean_a,1.0,False,True,,True,400,0,False,0,4,portal,200,9.583000000020547,clustered,200,True,True,0.5
56,lean_a,1.0,False,True,43,True,400,48,True,0,5,hub_aware,200,2.8416739996828255,scale_free_pos,91,True,True,0.2275
57,lean_a,1.0,False,True,43,True,400,48,True,0,5,hub_aware,200,0.4234529997120262,scale_free_no_pos,91,True,True,0.2275
58,lean_a,1.047172207305179,False,False,19,True,400,170,False,1,3,geometric_corridor,200,5.759429999670829,random_geometric,189,True,True,0.4725
59,lean_a,1.0,False,True,,True,400,0,False,1,137,portal,200,12.310933999287954,clustered,200,True,True,0.5
60,lean_a,1.0,False,True,,True,400,0,False,1,6,hub_aware,200,5.939659999967262,scale_free_pos,192,True,True,0.48
61,lean_a,1.0,False,True,,True,400,0,False,1,6,hub_aware,200,2.4354570005016285,scale_free_no_pos,192,True,True,0.48
62,lean_a,1.0869735678242203,False,False,25,True,400,175,False,2,4,geometric_corridor,200,5.84396599970205,random_geometric,200,True,True,0.5
63,lean_a,1.0890525059745904,True,False,,True,400,0,False,2,19,portal,200,14.24714499989932,clustered,607,True,True,1.5175
64,lean_a,1.0,False,True,48,True,400,72,True,2,6,hub_aware,200,2.8599110000868677,scale_free_pos,120,True,True,0.3
65,lean_a,1.0,False,True,48,True,400,72,True,2,6,hub_aware,200,0.4770420000568265,scale_free_no_pos,120,True,True,0.3
66,lean_a,1.0444813311179493,False,False,28,True,900,380,False,0,4,geometric_corridor,450,13.333660999705899,random_geometric,408,True,True,0.4533333333333333
67,lean_a,1.0,False,True,,True,900,0,False,0,254,portal,450,29.332522000004246,clustered,450,True,True,0.5
68,lean_a,1.0,False,True,108,True,900,137,True,0,8,hub_aware,450,7.123888000023726,scale_free_pos,245,True,True,0.2722222222222222
69,lean_a,1.0,False,True,108,True,900,137,True,0,8,hub_aware,450,1.0305390005669324,scale_free_no_pos,245,True,True,0.2722222222222222
70,lean_a,1.0487805439979778,False,False,30,True,900,380,False,1,4,geometric_corridor,450,13.15810899995995,random_geometric,410,True,True,0.45555555555555555
71,lean_a,1.118170906281548,False,False,,True,900,0,False,1,7,portal,450,22.640387999672384,clustered,450,True,False,0.5
72,lean_a,1.0,False,True,,True,900,0,False,1,5,hub_aware,450,22.862711000016134,scale_free_pos,432,True,True,0.48
73,lean_a,1.0,False,True,,True,900,0,False,1,5,hub_aware,450,5.625361000056728,scale_free_no_pos,432,True,True,0.48
74,lean_a,1.0945885541825005,False,False,30,True,900,380,False,2,4,geometric_corridor,450,13.522723000278347,random_geometric,410,True,True,0.45555555555555555
75,lean_a,1.0000000000000002,False,True,,True,900,0,False,2,287,portal,450,29.535384999689995,clustered,450,True,True,0.5
76,lean_a,1.0,False,True,,True,900,0,False,2,5,hub_aware,450,13.708110000152374,scale_free_pos,432,True,True,0.48
