_beam_astar_path_calls,_beam_astar_path_ms,_budgeted_bidirectional_dijkstra_calls,_budgeted_bidirectional_dijkstra_ms,_budgeted_dijkstra_calls,_budgeted_dijkstra_ms,_candidate_result_calls,_candidate_result_ms,_choose_strategy_calls,_choose_strategy_ms,_corridor_nodes_calls,_corridor_nodes_ms,_expand_by_hops_calls,_expand_by_hops_ms,_geometric_corridor_strategy_calls,_geometric_corridor_strategy_ms,_graph_features_calls,_graph_features_ms,_greedy_geometric_path_calls,_greedy_geometric_path_ms,_hub_aware_strategy_calls,_hub_aware_strategy_ms,_local_repair_calls,_local_repair_ms,_long_edge_portal_endpoints_calls,_long_edge_portal_endpoints_ms,_portal_strategy_calls,_portal_strategy_ms,_weighted_astar_calls,_weighted_astar_ms,_weighted_cost_strategy_calls,_weighted_cost_strategy_ms,case_id,edges,elapsed_ms,emergency,first_path_work,found,nodes,path_distance_calls,path_distance_ms,quality_budget_used,ratio,repair,result_time_ms,seed,strategy,target_work,topology,within10,work
1,0.2782080000542919,,,3,0.590347999605001,3,0.5950049999228213,1,0.0013319995559868403,1,2.434226999866951,,,1,3.3402489998479723,1,1.2026770000375109,,,,,,,,,,,,,,,15,3003,4.588374000377371,False,79,True,1561,1,0.020820999452553224,624,1.0,False,4.57464400005847,0,geometric_corridor,703,wall,True,703
1,0.30736099961359287,,,3,0.5616239996015793,3,0.5660700007865671,1,0.001782999788702,1,2.1367809995354037,,,1,3.0433929996434017,1,1.1561070004972862,,,,,,,,,,,,,,,16,3003,4.249374000210082,False,79,True,1561,1,0.020571000277413987,624,1.0,False,4.231068000080995,1,geometric_corridor,703,wall,True,703
1,0.43862900020030793,,,3,0.8595410008638282,3,0.866311998834135,1,0.0026739999157143757,1,2.6288799999747425,,,1,3.996074000497174,1,1.9133650002913782,,,,,,,,,,,,,,,17,3003,5.99189300010039,False,84,True,1561,1,0.036343999454402365,619,1.0,False,5.963379999229801,2,geometric_corridor,703,wall,True,703
3,1.0024059993156698,1,0.3986990004705149,8,0.16044000039983075,8,0.16703300025255885,1,0.0018029995771939866,2,0.7633070008523646,6,0.12416600111464504,1,1.312451999183395,1,0.7947650001369766,1,0.07970000024215551,1,0.2525890004108078,,,1,0.6586800000150106,1,1.525302000118245,1,0.564388000384497,1,0.40515799992135726,18,646,4.933512000206974,True,,True,362,1,0.013990999832458328,0,1.0,False,4.915555000479799,0,geometric_corridor,163,double_wall,True,474
3,0.8687659992574481,1,0.3747629998542834,8,0.2006310005526757,8,0.20717300139949657,1,0.0011719994290615432,2,0.7548040002802736,6,0.11193899899808457,1,1.3305090005815146,1,0.7592209994982113,1,0.11199900018254993,1,0.28386600024532527,,,1,0.6108379993747803,1,1.491871000325773,1,0.5662410003424156,1,0.37959000019327505,19,646,4.707342999608954,True,,True,362,1,0.008833000720187556,0,1.0,False,4.695425000136311,1,geometric_corridor,163,double_wall,True,410
3,1.1579189986150595,1,0.45694700020249,8,0.180039999577275,8,0.18670899953576736,1,0.0008509996405337006,2,0.7507579985031043,6,0.13237999974080594,1,1.2848610003857175,1,0.7075729999996838,1,0.06870300057926215,1,0.30480800069199177,,,1,0.6181489998198231,1,1.4506400002574082,1,0.5452089999380405,1,0.46244500026659807,20,646,4.980724000233749,True,,True,362,1,0.013830999705533031,0,1.0,False,4.969145999893954,2,geometric_corridor,163,double_wall,True,474
3,4.2789799999809475,1,2.2265750003498397,9,0.47736700162204215,9,0.48622299982525874,1,0.001321999661740847,2,3.2364829994548927,6,0.1316759990004357,1,3.730925000127172,1,1.2391410000418546,1,0.1351629998680437,1,0.47429299957002513,,,1,3.2535589998587966,1,6.730822999998054,1,0.8398720001423499,1,2.234037000562239,21,2886,17.063297999811766,True,,True,1522,1,0.028854000447608996,0,1.0,False,17.047444000127143,0,geometric_corridor,685,double_wall,True,1993
3,3.6645760001192684,1,2.2622690003117896,9,0.5294660022627795,9,0.54322400046658,1,0.0016320000213454477,2,3.2841539996297797,6,0.1597400014361483,1,3.800751000198943,1,1.1625659999481286,1,0.23520400009147124,1,0.5904070003452944,,,1,2.903613000853511,1,6.963101999645005,1,0.8596020006734761,1,2.2697910007991595,22,2886,16.75319199966907,True,,True,1522,1,0.017846999980974942,0,1.0,False,16.73444300013216,1,geometric_corridor,685,double_wall,True,1597
3,4.471328998988611,1,2.207677000114927,9,0.4944730007991893,9,0.5042169996158918,1,0.0018729997464106418,2,3.3337390013912227,6,0.13532400043914095,1,4.074352000316139,1,1.3000029994145734,1,0.1562550005473895,1,0.47211899982357863,,,1,3.2294619995809626,1,6.979226000112249,1,0.9658720000516041,1,2.21629999941797,23,2886,17.772974000763497,True,,True,1522,1,0.03188800019415794,0,1.0,False,17.74923800076067,2,geometric_corridor,685,double_wall,True,1993
1,0.1390190000165603,,,2,0.10290399950463325,2,0.10547900001256494,1,0.0013919998309575021,1,0.5258399996819207,,,1,0.7896460001575178,1,0.7333020002988633,,,,,,,,,,,,,,,24,663,1.5552969998680055,False,39,True,368,1,0.008944000001065433,127,1.0,False,1.5404249998027808,0,geometric_corridor,166,u_shape,True,166
