case_id,distance,distance_ratio,edges,error_code,fallback_used,found,nodes,path_distance,peak_kib_uniform,quality_guard_replaced,quality_guard_used,quality_guard_work,reentry_count,requested_nodes,seed,solver,steps,switch_count,topology,topology_gate_action,topology_gate_reasons,topology_risk_class,topology_risk_score,total_time_ms,total_work,valid
24,38.0,1.0,663,,True,True,368,38.0,186.1953125,False,True,1147,0,400,0,dg5,75,1,u_shape,BASELINE,,,,26.28658899993752,2914,True
25,38.0,1.0,663,,False,True,368,38.0,85.8046875,False,False,0,0,400,1,dijkstra,368,0,u_shape,BASELINE,,,,2.5187489999325408,1324,True
25,38.0,1.0,663,,False,True,368,38.0,159.5546875,False,False,0,0,400,1,bidir,317,0,u_shape,BASELINE,,,,4.452030000038576,1147,True
25,38.0,1.0,663,,False,True,368,38.0,85.7734375,False,False,0,0,400,1,astar,368,0,u_shape,BASELINE,,,,2.567382000052021,1324,True
25,38.0,1.0,663,,True,True,368,38.0,186.1953125,False,True,1147,0,400,1,dg5,75,1,u_shape,BASELINE,,,,24.654639999994288,2914,True
26,38.0,1.0,663,,False,True,368,38.0,83.5546875,False,False,0,0,400,2,dijkstra,368,0,u_shape,BASELINE,,,,2.4342519999436263,1324,True
26,38.0,1.0,663,,False,True,368,38.0,99.6171875,False,False,0,0,400,2,bidir,317,0,u_shape,BASELINE,,,,4.099150000001828,1147,True
26,38.0,1.0,663,,False,True,368,38.0,85.7734375,False,False,0,0,400,2,astar,368,0,u_shape,BASELINE,,,,2.518367999982729,1324,True
26,38.0,1.0,663,,True,True,368,38.0,186.1953125,False,True,1147,0,400,2,dg5,75,1,u_shape,BASELINE,,,,25.110639999979867,2914,True
27,78.0,1.0,2933,,False,True,1538,78.0,339.0234375,False,False,0,0,1600,0,dijkstra,1538,0,u_shape,BASELINE,,,,14.689870000097471,5864,True
27,78.0,1.0,2933,,False,True,1538,78.0,644.125,False,False,0,0,1600,0,bidir,1362,0,u_shape,BASELINE,,,,26.969183000005614,5205,True
27,78.0,1.0,2933,,False,True,1538,78.0,342.96875,False,False,0,0,1600,0,astar,1538,0,u_shape,BASELINE,,,,14.745052999955988,5864,True
27,78.0,1.0,2933,,False,True,1538,78.0,828.52734375,False,False,0,0,1600,0,dg5,156,0,u_shape,BASELINE,,,,97.89701500005776,7558,True
28,78.0,1.0,2933,,False,True,1538,78.0,339.0234375,False,False,0,0,1600,1,dijkstra,1538,0,u_shape,BASELINE,,,,14.723534000040672,5864,True
28,78.0,1.0,2933,,False,True,1538,78.0,630.78125,False,False,0,0,1600,1,bidir,1362,0,u_shape,BASELINE,,,,26.291052000033233,5205,True
28,78.0,1.0,2933,,False,True,1538,78.0,342.96875,False,False,0,0,1600,1,astar,1538,0,u_shape,BASELINE,,,,14.630945000021711,5864,True
28,78.0,1.0,2933,,False,True,1538,78.0,828.52734375,False,False,0,0,1600,1,dg5,156,0,u_shape,BASELINE,,,,101.15275900000142,7558,True
29,78.0,1.0,2933,,False,True,1538,78.0,341.2734375,False,False,0,0,1600,2,dijkstra,1538,0,u_shape,BASELINE,,,,15.427160000058393,5864,True
